title,start_date,start_time,end_date,end_time,type,venue,speaker_name,speaker_company,speaker_image
Facebook OCP 2S Server Tioga Pass,3/9/17,10:30,3/9/17,10:55,,,,,
Microsoft Platinum Sponsor Presentation:  Reimagining Open Hardware  Innovation  at Cloud Speed,3/8/17,9:20,3/8/17,9:40,,,,,
Intel: Intelå¨ Rack Scale Design: A Deeper Perspective on Software Manageability for the Open Compute Project Community,3/8/17,16:55,3/8/17,17:20,,,,,
A High-density NVME JBOF Storage in 1U Chassis for 19‰Ûù and 21‰Ûù Racks,3/9/17,13:00,3/9/17,13:25,,,,,
Project Olympus Storage JBOD,3/9/17,11:30,3/9/17,11:55,,,,,
HPE: Leaping Ahead with Open ‰ÛÒ HPE Has a Hyperscale Strategy for You,3/8/17,15:45,3/8/17,16:10,,,,,
Taking SAI Beyond the Data Center Fabric,3/9/17,10:30,3/9/17,10:55,,,,,
"Linux Networking Greatness, episode 2",3/9/17,13:00,3/9/17,13:25,,,,,
Project Olympus High Density Flash,3/9/17,11:00,3/9/17,11:25,,,,,
Facebook Lightning Update and Lessons Learned,3/9/17,9:00,3/9/17,9:25,,,,,
5G: Redefining the Telco Data Center,3/9/17,9:30,3/9/17,9:55,,,,,
Project Olympus Rack Management,3/9/17,13:30,3/9/17,13:55,,,,,
Registration Open,3/8/17,7:30,3/8/17,19:00,,,,,
Specification of the Data Center IT Pod,3/9/17,14:00,3/9/17,14:25,,,,,
Next Generation HDDs in the Datacenter,3/9/17,13:30,3/9/17,14:25,,,,,
Open Access ‰ÛÒ AT&T Specs,3/9/17,13:30,3/9/17,13:55,,,,,
Executive Track: Sony OAI,3/8/17,15:10,3/8/17,15:35,,,,,
Welcome and State of the Foundation Update,3/8/17,9:00,3/8/17,9:20,,,,,
Flex: Removing the Friction from Global Data Center Deployment,3/8/17,14:50,3/8/17,15:05,,,,,
Power capping in Project Olympus,3/9/17,14:30,3/9/17,14:55,,,,,
Applying Cloud Principles to Hardware Drivers,3/9/17,13:00,3/9/17,13:25,,,,,
Breakfast,3/9/17,8:00,3/9/17,9:00,,,,,
HW Management SW Agents in Hyperscale Datacenter Systems,3/9/17,13:00,3/9/17,13:25,,,,,
Building a Data Center for the Post-mobile Era,3/8/17,11:20,3/8/17,11:50,,,,,
Welcome and Track Overview,3/9/17,8:45,3/9/17,8:55,,,,,
Flexible & Scalable 48V Solutions To Power Tomorrows Datacenters,3/9/17,11:00,3/9/17,11:25,,,,,
Flex: The OCP Driven Telco Cloud,3/8/17,16:20,3/8/17,16:45,,,,,
Sonic,3/9/17,11:00,3/9/17,11:25,,,,,
An Overview of Facebook's Manufacturing Test Framework,3/9/17,11:00,3/9/17,11:25,,,,,
Hyve: Hyve Designed 48V OCP v2 Rack,3/8/17,12:50,3/8/17,13:05,,,,,
Breakfast,3/8/17,7:30,3/8/17,9:00,,,,,
High Temperature Datacenter Hardware,3/9/17,11:30,3/9/17,11:55,,,,,
"YJ America, Inc. Presentation",3/8/17,9:40,3/8/17,10:10,,,,,
"A Novel, Scalable, Multi-Cell Architecture for 48V Direct Conversion",3/9/17,13:00,3/9/17,13:25,,,,,
GS‰Ûª WhiteBox Strategy,3/9/17,13:00,3/9/17,13:25,,,,,
Software's Role in an Open Hardware Ecosystem,3/8/17,10:30,3/8/17,11:00,,,,,
Zaius & Barreleye G2: the 48v Google / Rackspace OpenPOWER Platform,3/9/17,13:00,3/9/17,13:25,,,,,
"Alpha 10G, 25G and 100G switches for the DC and Telco markets",3/9/17,14:30,3/9/17,14:55,,,,,
Lunch,3/8/17,12:00,3/8/17,14:00,,,,,
Expo Hall Theater: AMD,3/9/17,9:20,3/9/17,9:35,,,,,
Universal Connectivity and Interoperability in the Open Eco System,3/9/17,11:00,3/9/17,11:25,,,,,
Welcome and Track Overview,3/9/17,8:45,3/9/17,8:55,,,,,
AVA - NVMe m.2 in Scale Out Storage,3/9/17,11:00,3/9/17,11:25,,,,,
Multi-Node 1S Server Platform Yosemite V2,3/9/17,9:30,3/9/17,9:55,,,,,
Lunch,3/9/17,12:00,3/9/17,13:00,,,,,
"Open Networking Advancing, Expanding, and Deploying",3/9/17,14:00,3/9/17,14:25,,,,,
Dr. Know - A New High Performance Compute Accelerator,3/9/17,10:00,3/9/17,10:25,,,,,
Intel Platinum Sponsor Presentation,3/8/17,10:10,3/8/17,10:40,,,,,
Project Olympus Overview,3/9/17,9:00,3/9/17,9:55,,,,,
100G Optics Deployment in Facebook Data Centers,3/9/17,14:30,3/9/17,14:55,,,,,
"Coordinated Models for Analysis, Design, Construction, and Operations",3/9/17,14:30,3/9/17,14:55,,,,,
Re-evaluating HDD error correction,3/9/17,14:00,3/9/17,14:25,,,,,
Western Digital: The State of the Solid State Drive (SSD),3/8/17,16:50,3/8/17,17:05,,,,,
Nokia DCM solution for OCP,3/9/17,13:30,3/9/17,13:55,,,,,
OCP For Telco: The Challenge and the Solution - Part Two,3/9/17,11:30,3/9/17,11:55,,,,,
QCT: What‰Ûªs New in OCP from QCT,3/8/17,15:10,3/8/17,15:25,,,,,
Facebook: Scaleout SW Solutions on OCP HW - Panel,3/8/17,14:00,3/8/17,14:25,,,,,
OCP Mezzanine NIC 2.0 and Beyond,3/9/17,9:00,3/9/17,9:25,,,,,
OCP Happy Hour,3/8/17,18:00,3/8/17,19:30,,,,,
HPE: Jump into the Open ‰ÛÒ HPE Has Your Parachute,3/8/17,14:10,3/8/17,14:25,,,,,
Facebook's Next Generation Storage Server Design,3/9/17,9:30,3/9/17,9:55,,,,,
Welcome and Track Overview,3/9/17,8:45,3/9/17,9:25,,,,,
SmartNIC Data Plane Acceleration and Reconfiguration in OCP servers for Data Center Operators,3/9/17,11:30,3/9/17,11:55,,,,,
Facebook Server Refresh,3/8/17,11:00,3/8/17,11:20,,,,,
Executive Track: TBD,3/8/17,17:00,3/8/17,17:25,,,,,
Building Shared Accelerated Storage on OCP,3/9/17,11:25,3/9/17,11:55,,,,,
OCP Debug Card With LCD,3/9/17,14:30,3/9/17,14:45,,,,,
Project Olympus Node Management,3/9/17,14:00,3/9/17,14:25,,,,,
Intel: Intel and OCP: Collaboration and Innovation,3/8/17,14:00,3/8/17,14:25,,,,,
Welcome and Track Overview,3/9/17,8:45,3/9/17,8:55,,,,,
Overview of Open Rack Specification 2.0 Updates,3/9/17,9:00,3/9/17,9:55,,,,,
48V direct to CPU goes Mainstream,3/9/17,10:30,3/9/17,10:55,,,,,
Mellanox: OCP Networking Done Right,3/8/17,16:30,3/8/17,16:45,,,,,
Hyve: Hyve Designed 48V OCP v2 Rack,3/8/17,14:35,3/8/17,15:00,,,,,
Welcome and Track Overview,3/9/17,8:45,3/9/17,8:55,,,,,
Project Olympus Servers,3/9/17,10:00,3/9/17,10:55,,,,,
Hardware Management for CG-OpenRack-19,3/9/17,11:30,3/9/17,11:55,,,,,
CNEX: LightNVM: The Open-Channel SSD Subsystem,3/8/17,15:50,3/8/17,16:05,,,,,
Specification for OCP - Telecom Sled,3/9/17,9:00,3/9/17,9:25,,,,,
Tales From the Field: L1 Issues,3/9/17,10:30,3/9/17,10:55,,,,,
Testing to enable 100G fabrics at scale (TOR and Optics),3/9/17,11:30,3/9/17,11:55,,,,,
Big Basin: Flexible GPU Expander,3/9/17,13:30,3/9/17,13:55,,,,,
Wiwynn: OCP Migration + SDDC Machine Learning,3/8/17,15:30,3/8/17,15:45,,,,,
Hardware Lifecycle at Scale,3/9/17,10:00,3/9/17,10:55,,,,,
Delivering Carrier-Grade OCP to Telco Data Centers,3/9/17,10:00,3/9/17,10:55,,,,,
OCP Trial Results for Telco Infrastructure,3/9/17,11:00,3/9/17,11:25,,,,,
Welcome and Track Overview,3/9/17,8:45,3/9/17,8:55,,,,,
Microsoft: Enabling Cloud Workloads Through Innovations in Silicon,3/8/17,14:35,3/8/17,15:00,,,,,
Facebook: Zooming In On the Network,3/8/17,12:10,3/8/17,12:25,,,,,
Early Bird Registration,3/7/17,13:00,3/7/17,18:00,,,,,
Seagate: NVMe SSD Proliferation in OCP Servers,3/8/17,13:10,3/8/17,13:25,,,,,
Welcome and Track Overview,3/9/17,8:45,3/9/17,9:25,,,,,
Marvell: Extending the Lifecycle of 3.2T Switches,3/8/17,14:30,3/8/17,14:45,,,,,
Project Olympus GPU Expansion,3/9/17,13:00,3/9/17,13:25,,,,,
Inspur: Inspur Leads Convergence in Open Rack Scale Designs,3/8/17,17:30,3/8/17,17:45,,,,,
