title,start_date,start_time,end_date,end_time,type,venue,speaker,speaker_company,speaker_image,,,,,,,,
OpenStack Storage Across Datacenters,8/31/17,13:45,8/25/16,14:00,Presentation,Level 4 - MR 12 A/B ,Justin Tabb,FNTECH,justin.jpg,,,,,,,,
INTRODUCTION,8/31/17,10:00,8/31/17,10:20,Keynote,Level 2 - 220BC,Jay Parikh,Facebook,https://atscaleconference2.files.wordpress.com/2016/06/jay_parikh_headshot_2015_atscale.jpg,,,,,,,,
DNA DATA STORAGE: BORROWING FROM NATURE TO BUILD BETTER COMPUTERS,8/31/17,10:20,8/31/17,10:40,Keynote,Level 2 - 220BC,Luis Ceze,University of Washington and Microsoft Research  ,https://atscaleconference2.files.wordpress.com/2017/06/luis_ceze-200x3001.jpg,,,,,,,,
The journey of turning a CI system into a universal platform,8/31/17,10:50,8/31/17,11:30,Presentation,Level 2 - 210DH,Sergey Doroshenko,Facebook ,https://atscaleconference2.files.wordpress.com/2017/07/597a108e1d550.jpg,,,,,,,,
,8/31/17,10:50,8/31/17,11:30,Presentation,Level 2 - 210DH,Adriana Liborno:Sergey Doroshenko,Facebook ,https://atscaleconference2.files.wordpress.com/2017/04/adriana-lins.jpg,,,,,,,,
Efficient and healthy background data prefetching sessions,8/31/17,10:50,8/31/17,11:30,Presentation,Level 2 - 210AE,Lola Priego,Instagram  ,https://atscaleconference2.files.wordpress.com/2017/07/596d1f0fd5539.png,,,,,,,,
Azure Data Lake Store,8/31/17,10:50,8/31/17,11:30,Presentation,Level 2 - 210CG,Raghu Ramakrishnan,Microsoft  ,https://atscaleconference2.files.wordpress.com/2017/07/597a541910b49.jpg,,,,,,,,
Building data-efficient AI algorithms with a dose of inspiration from the brain,8/31/17,10:50,8/31/17,11:30,Presentation,Level 2 - 210BF,Dileep George,Vicarious AI  ,https://atscaleconference2.files.wordpress.com/2017/06/dileep.jpeg,,,,,,,,
When all the world's data scientists are just not enough,8/31/17,11:40,8/31/17,12:20,Presentation,Level 2 - 210BF,Shubha Nabar,Salesforce,https://atscaleconference2.files.wordpress.com/2017/08/5980cb167caa0.jpg,,,,,,,,
LogDevice: A file-structured log system,8/31/17,11:40,8/31/17,12:20,Presentation,Level 2 - 210CG,Mark Marchukov,Facebook ,https://atscaleconference2.files.wordpress.com/2017/07/596d1d876d304.jpg,,,,,,,,
